,time,f,f2
0,0.0,-0.01,0.012907900206838352
1,0.01,-0.018000000000000002,0.016171474203822256
2,0.02,-0.02,0.019420619814932816
3,0.03,-0.015,0.022654890250705634
4,0.04,-0.011000000000000001,0.025873841538652357
5,0.05,-0.01,0.029077032585268142
6,0.06,-0.015,0.032264025237580124
7,0.07,-0.013000000000000001,0.03543438434422564
8,0.08,-0.006999999999999999,0.038587677816055745
9,0.09,-0.001,0.04172347668625068
10,0.1,0.003,0.04484135516994106
11,0.11,0.001,0.047940890723326746
12,0.12,0.001,0.05102166410228262
13,0.13,0.001,0.05408325942044509
14,0.14,-0.006,0.05712526420676973
15,0.15,-0.011000000000000001,0.06014726946255089
16,0.16,-0.002,0.06314886971789893
17,0.17,-0.005,0.06612966308766163
18,0.18,-0.005,0.06908925132678566
19,0.19,0.0,0.0720272398851083
20,0.2,-0.008,0.07494323796157344
21,0.21,-0.002,0.0778368585578598
22,0.22,-0.002,0.08070771853142167
23,0.23,-0.003,0.08355543864792375
24,0.24,0.003,0.08637964363307257
25,0.25,-0.005,0.08917996222383207
26,0.26,-0.002,0.09195602721901551
27,0.27,0.008,0.09470747552924882
28,0.28,0.004,0.09743394822629756
29,0.29,0.004,0.10013509059174978
30,0.3,0.016,0.1028105521650487
31,0.31,0.03,0.10545998679086603
32,0.32,0.023,0.10808305266581449
33,0.33,0.002,0.11067941238448596
34,0.34,-0.002,0.1132487329848152
35,0.35000000000000003,-0.006999999999999999,0.11579068599275709
36,0.36,-0.009000000000000001,0.11830494746627504
37,0.37,-0.004,0.12079119803863488
38,0.38,-0.013000000000000001,0.1232491229609914
39,0.39,-0.025,0.12567841214427122
40,0.4,-0.028999999999999998,0.12807876020033868
41,0.41000000000000003,-0.017,0.13044986648244175
42,0.42,-0.016,0.13279143512493272
43,0.43,-0.022000000000000002,0.1351031750822566
44,0.44,-0.013999999999999999,0.13738480016720306
45,0.45,0.003,0.13963602908841505
46,0.46,0.024,0.14185658548715174
47,0.47000000000000003,0.016,0.1440461979732958
48,0.48,0.01,0.14620460016060566
49,0.49,0.015,0.14833153070120375
50,0.5,0.004,0.15042673331929707
51,0.51,0.006,0.15248995684412558
52,0.52,0.006999999999999999,0.15452095524213472
53,0.53,-0.002,0.1565194876483651
54,0.54,-0.006999999999999999,0.1584853183970593
55,0.55,-0.015,0.160418217051475
56,0.56,-0.016,0.1623179584329082
57,0.5700000000000001,-0.013999999999999999,0.16418432264891564
58,0.58,-0.018000000000000002,0.16601709512073778
59,0.59,-0.013999999999999999,0.16781606660991405
60,0.6,-0.006999999999999999,0.1695810332440913
61,0.61,-0.016,0.17131179654201772
62,0.62,-0.019,0.17300816343772302
63,0.63,-0.019,0.1746699463038759
64,0.64,-0.021,0.17629696297432398
65,0.65,-0.017,0.17788903676580448
66,0.66,-0.022000000000000002,0.1794459964988283
67,0.67,-0.013000000000000001,0.1809676765177329
68,0.68,-0.003,0.18245391670990208
69,0.6900000000000001,-0.009000000000000001,0.18390456252414883
70,0.7000000000000001,-0.002,0.1853194649882605
71,0.71,0.001,0.1866984807257025
72,0.72,0.003,0.18804147197147966
73,0.73,0.009000000000000001,0.18934830658715252
74,0.74,0.002,0.1906188580750071
75,0.75,0.002,0.19185300559137666
76,0.76,0.005,0.19305063395911073
77,0.77,-0.002,0.194211633679197
78,0.78,-0.006,0.19533590094152647
79,0.79,-0.008,0.19642333763480538
80,0.8,-0.008,0.1974738513556134
81,0.81,0.006999999999999999,0.1984873554166029
82,0.8200000000000001,0.016,0.1994637688538437
83,0.8300000000000001,0.012,0.20040301643330807
84,0.84,0.008,0.20130502865649738
85,0.85,0.01,0.20216974176521055
86,0.86,0.019,0.20299709774545424
87,0.87,0.008,0.20378704433049064
88,0.88,-0.003,0.2045395350030269
89,0.89,-0.001,0.20525452899654723
90,0.9,0.001,0.20593199129578274
91,0.91,0.006999999999999999,0.20657189263632325
92,0.92,0.009000000000000001,0.20717420950336998
93,0.93,0.013000000000000001,0.20773892412963205
94,0.9400000000000001,-0.001,0.20826602449236292
95,0.9500000000000001,-0.013000000000000001,0.2087555043095426
96,0.96,-0.005,0.20920736303520168
97,0.97,-0.01,0.20962160585389433
98,0.98,-0.022000000000000002,0.20999824367431397
99,0.99,-0.02,0.21033729312206062
100,1.0,-0.013999999999999999,0.21063877653155427
101,1.01,-0.01,0.21090272193710222
102,1.02,-0.004,0.21112916306311752
103,1.03,0.003,0.21131813931349194
104,1.04,0.008,0.2114696957601255
105,1.05,0.003,0.2115838831306164
106,1.06,-0.004,0.21166075779510857
107,1.07,-0.006999999999999999,0.21170038175230513
108,1.08,-0.012,0.2117028226146464
109,1.09,-0.013999999999999999,0.21166815359265506
110,1.1,-0.02,0.2115964534784549
111,1.11,-0.022000000000000002,0.21148780662846073
112,1.12,-0.017,0.21134230294524636
113,1.1300000000000001,-0.023,0.21116003785859214
114,1.1400000000000001,-0.027000000000000003,0.21094111230571486
115,1.1500000000000001,-0.03,0.21068563271068574
116,1.16,-0.023,0.21039371096303505
117,1.17,-0.005,0.2100654643955537
118,1.18,0.009000000000000001,0.20970101576129033
119,1.19,0.012,0.20930049320974775
120,1.2,0.01,0.20886403026228628
121,1.21,0.01,0.20839176578673518
122,1.22,0.006999999999999999,0.20788384397121695
123,1.23,0.008,0.2073404142971891
124,1.24,0.005,0.20676163151170712
125,1.25,-0.002,0.20614765559891407
126,1.26,-0.001,0.2054986517507612
127,1.27,0.0,0.2048147903369638
128,1.28,0.003,0.20409624687419628
129,1.29,0.0,0.20334320199453587
130,1.3,0.0,0.20255584141315278
131,1.31,0.002,0.20173435589525876
132,1.32,0.003,0.20087894122231614
133,1.33,0.002,0.1999897981575126
134,1.34,-0.005,0.19906713241050764
135,1.35,-0.005,0.1981111546014574
136,1.36,0.002,0.19712208022432293
137,1.37,0.005,0.1961001296094668
138,1.3800000000000001,0.003,0.1950455278855442
139,1.3900000000000001,0.004,0.19395850494069738
140,1.4000000000000001,0.008,0.192839295383055
141,1.41,0.008,0.19168813850054597
142,1.42,-0.003,0.19050527822003413
143,1.43,-0.009000000000000001,0.18929096306577756
144,1.44,-0.005,0.18804544611722193
145,1.45,0.001,0.18676898496613317
146,1.46,0.002,0.1854618416730761
147,1.47,-0.003,0.18412428272324807
148,1.48,0.002,0.18275657898166903
149,1.49,0.0,0.1813590056477432
150,1.5,-0.01,0.17993184220919245
151,1.51,-0.011000000000000001,0.17847537239537148
152,1.52,-0.008,0.17698988412997244
153,1.53,-0.002,0.17547566948312593
154,1.54,0.004,0.17393302462290572
155,1.55,-0.002,0.1723622497662445
156,1.56,-0.015,0.17076364912926964
157,1.57,-0.012,0.16913753087706437
158,1.58,-0.006999999999999999,0.16748420707286538
159,1.59,-0.013999999999999999,0.16580399362670206
160,1.6,-0.016,0.164097210243486
161,1.61,-0.018000000000000002,0.162364180370561
162,1.62,-0.011000000000000001,0.160605231144718
